X_rate_change,clean_air,clean_environ,health_training,school_awareness,media_awareness,sub_counselling,region,local_authority_type
0.000763387,0.151079137,0.158273381,0.129496403,0.294964029,0.129496403,0.136690647,London,london_borough
0.000588355,0.227272727,0.077272727,0.104545455,0.336363636,0.136363636,0.118181818,London,london_borough
0.000455945,0.25625,0.28125,0.03125,0.1625,0.18125,0.0875,Yorkshire and the Humber,metropolitan_borough
5.63E-05,0.204968944,0.260869565,0.118012422,0.310559006,0.062111801,0.043478261,South West,unitary_authority
0.000186908,0.284615385,0.4,0.130769231,0.061538462,0.023076923,0.1,East of England,unitary_authority
0.000584541,0.361809045,0.135678392,0.070351759,0.32160804,0.075376884,0.035175879,London,london_borough
0.000489475,0.077015644,0.327316486,0.156438026,0.151624549,0.168471721,0.119133574,West Midlands,metropolitan_borough
0.000843852,0.164835165,0.175824176,0.142857143,0.230769231,0.197802198,0.087912088,North West,unitary_authority
0.000104366,0.242424242,0.191919192,0.090909091,0.282828283,0.101010101,0.090909091,North West,unitary_authority
0.000502987,0.273631841,0.338308458,0.054726368,0.124378109,0.154228856,0.054726368,North West,metropolitan_borough
3.11E-05,0.238461538,0.230769231,0.130769231,0.3,0.053846154,0.046153846,South West,unitary_authority
0.000546201,0.388888889,0.277777778,0.1,0.044444444,0.144444444,0.044444444,South East,unitary_authority
0.000452295,0.213808463,0.327394209,0.040089087,0.262806236,0.106904232,0.048997773,Yorkshire and the Humber,metropolitan_borough
0.000468825,0.175732218,0.30125523,0.092050209,0.20083682,0.163179916,0.066945607,London,london_borough
1.36E-05,0.252173913,0.291304348,0.065217391,0.165217391,0.134782609,0.091304348,South East,unitary_authority
0.000315376,0.197297297,0.275675676,0.1,0.210810811,0.17027027,0.045945946,South West,unitary_authority
0.000805769,0.110344828,0.275862069,0.075862069,0.217241379,0.203448276,0.117241379,London,london_borough
0.000282076,0.134670487,0.441260745,0.1747851,0.088825215,0.12034384,0.040114613,South East,non_metropolitan_county
0.000410749,0.177304965,0.226950355,0.042553191,0.326241135,0.120567376,0.106382979,North West,metropolitan_borough
0.000309848,0.308724832,0.194630872,0.120805369,0.228187919,0.093959732,0.053691275,Yorkshire and the Humber,metropolitan_borough
5.71E-06,0.270417423,0.01814882,0.152450091,0.388384755,0.114337568,0.056261343,East of England,non_metropolitan_county
0.000279174,0.277777778,0.116666667,0.088888889,0.366666667,0.066666667,0.083333333,London,london_borough
0.000239606,0.194444444,0.2,0.172222222,0.15,0.133333333,0.15,East of England,unitary_authority
0.000495708,0.234113712,0.227424749,0.080267559,0.190635452,0.173913043,0.093645485,North West,unitary_authority
0.000564042,0.348754448,0.067615658,0.078291815,0.266903915,0.195729537,0.042704626,North West,unitary_authority
7.40E-05,0.24,0.18,0.12,0.4,0.04,0.02,London,other_london
0.00030908,0.338199513,0.352798054,0.0243309,0.0486618,0.153284672,0.082725061,South West,unitary_authority
0.000427342,0.070833333,0.391666667,0.0625,0.2125,0.195833333,0.066666667,West Midlands,metropolitan_borough
0.000688908,0.204347826,0.117391304,0.12173913,0.339130435,0.091304348,0.126086957,London,london_borough
0.000242063,0.238235294,0.188235294,0.158823529,0.238235294,0.085294118,0.091176471,North West,non_metropolitan_county
0.000090185,0.227848101,0.417721519,0.037974684,0.151898734,0.126582278,0.037974684,North East,unitary_authority
0.000332108,0.428571429,0.253968254,0.037037037,0.126984127,0.068783069,0.084656085,East Midlands,unitary_authority
0.00017723,0.270689655,0.193103448,0.065517241,0.231034483,0.134482759,0.105172414,East Midlands,non_metropolitan_county
0.000167297,0.131034483,0.148275862,0.151724138,0.306896552,0.175862069,0.086206897,South West,non_metropolitan_county
0.00037847,0.265,0.335,0.07,0.195,0.04,0.095,Yorkshire and the Humber,metropolitan_borough
0.000280564,0.225806452,0.187096774,0.058064516,0.248387097,0.161290323,0.119354839,South West,non_metropolitan_county
0.000545771,0.2,0.25,0.088461538,0.2,0.203846154,0.057692308,West Midlands,metropolitan_borough
0.000404913,0.262773723,0.158150852,0.055961071,0.316301703,0.138686131,0.068126521,North East,unitary_authority
0.000751719,0.192,0.312,0.096,0.216,0.104,0.08,London,london_borough
0.000218358,0.330855019,0.144981413,0.018587361,0.293680297,0.074349442,0.137546468,Yorkshire and the Humber,unitary_authority
0.000226427,0.20935412,0.175946548,0.120267261,0.244988864,0.187082405,0.062360802,South East,non_metropolitan_county
0.000670131,0.253012048,0.273092369,0.068273092,0.228915663,0.112449799,0.064257028,London,london_borough
0.00012009,0.277570093,0.252336449,0.043925234,0.265420561,0.070093458,0.090654206,East of England,non_metropolitan_county
